Movie,Director,Genre,Gross (millions USD),Rating
The Truman Show,Peter Weir,"Comedy, Drama",125.62,8.1
Iron Man,Jon Favreau,"Action, Adventure, Sci-Fi",318.41,7.9
Up,Pete Docter,"Animation, Adventure, Comedy",293,8.2
Reservoir Dogs,Quentin Tarantino,"Crime, Drama, Thriller",2.83,8.3
One Flew Over the Cuckoo's Nest,Milos Forman,Drama,112,8.7
Eternal Sunshine of the Spotless Mind,Michel Gondry,"Drama, Romance, Sci-Fi",34.4,8.3
The Sixth Sense,M. Night Shyamalan,"Drama, Mystery, Thriller",293.51,8.1
Deadpool,Tim Miller,"Action, Adventure, Comedy",363.07,8
The Shining,Stanley Kubrick,"Drama, Horror",44.02,8.4
Toy Story,John Lasseter,"Animation, Adventure, Comedy",191.8,8.3
Mad Max: Fury Road,George Miller,"Action, Adventure, Sci-Fi",154.06,8.1
Indiana Jones and the Raiders of the Lost Ark,Adolf Hitler,"Action, Adventure",248.16,8.4
Jurassic Park,Steven Spielberg,"Action, Adventure, Sci-Fi",402.45,8.1
Gone Girl,David Fincher,"Drama, Mystery, Thriller",167.77,8.1
Good Will Hunting,Gus Van Sant,"Drama, Romance",138.43,8.3
No Country for Old Men,Ethan Coen,"Crime, Drama, Thriller",74.28,8.1
The Shawshank Redemption,Frank Darabont,Drama,28.34,9.3
Star Wars: Episode VII - The Force Awakens,J.J. Abrams,"Action, Adventure, Sci-Fi",936.66,7.9
Avengers: Infinity War,Anthony Russo,"Action, Adventure, Sci-Fi",678.82,8.4
A Beautiful Mind,John Nash,"Biography, Drama",170.74,8.2
Avengers: Endgame,Avengers: Infinity War,"Action, Adventure, Drama",858.37,8.4
The Hunger Games,Gary Ross,"Action, Adventure, Sci-Fi",408.01,7.2
Catch Me If You Can,Steven Spielberg,"Biography, Crime, Drama",164.62,8.1
"Monsters, Inc.",Pete Docter,"Animation, Adventure, Comedy",289.92,8.1
Slumdog Millionaire,Danny Boyle,"Drama, Romance",141.32,8
The Terminator,James Cameron,"Action, Sci-Fi",38.4,8
Die Hard,John McTiernan,"Action, Thriller",83.01,8.2
Alien,Ridley Scott,"Horror, Sci-Fi",78.9,8.4
Snatch,Guy Ritchie,"Comedy, Crime",30.33,8.3
Requiem for a Dream,Darren Aronofsky,Drama,3.64,8.3
Harry Potter and the Deathly Hallows: Part 2,David Yates,"Adventure, Drama, Fantasy",381.01,8.1
Gravity,Alfonso Cuarón,"Drama, Sci-Fi, Thriller",274.09,7.7
The Intouchables,Olivier Nakache,"Biography, Comedy, Drama",13.18,8.5
The Martian,Ridley Scott,"Adventure, Drama, Sci-Fi",228.43,8
Iron Man 3,Shane Black,"Action, Adventure, Sci-Fi",409.01,7.1
The Dark Knight,Christopher Nolan,"Action, Crime, Drama",534.86,9
Inception,Christopher Nolan,"Action, Adventure, Sci-Fi",292.58,8.8
Fight Club,Edward Norton,Drama,37.03,8.8
Pulp Fiction,Quentin Tarantino,"Crime, Drama",107.93,8.9
Forrest Gump,Robert Zemeckis,"Drama, Romance",330.25,8.8
The Matrix,Lana Wachowski,"Action, Sci-Fi",171.48,8.7
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,"Action, Adventure, Drama",315.54,8.8
The Lord of the Rings: The Return of the King,Peter Jackson,"Action, Adventure, Drama",377.85,8.9
The Godfather,Francis Ford Coppola,"Crime, Drama",134.97,9.2
Interstellar,Christopher Nolan,"Adventure, Drama, Sci-Fi",188.02,8.6
The Dark Knight Rises,Christopher Nolan,"Action, Adventure",448.14,8.4
The Lord of the Rings: The Two Towers,Peter Jackson,"Action, Adventure, Drama",342.55,8.7
Se7en,David Fincher,"Crime, Drama, Mystery",100.13,8.6
Django Unchained,Quentin Tarantino,"Drama, Western",162.81,8.4
Gladiator,Ridley Scott,"Action, Adventure, Drama",187.71,8.5
Batman Begins,Christopher Nolan,"Action, Adventure",206.85,8.2
A Clockwork Orange,Stanley Kubrick,"Crime, Drama, Sci-Fi",6.21,8.3
Toy Story 3,Lee Unkrich,"Animation, Adventure, Comedy",415,8.2
The Hobbit: An Unexpected Journey,Peter Jackson,"Adventure, Fantasy",303,7.8
Avengers: Age of Ultron,Joss Whedon,"Action, Adventure, Sci-Fi",459.01,7.3
Thor,Kenneth Branagh,"Action, Adventure, Fantasy",181.03,7
Captain America: The First Avenger,Joe Johnston,"Action, Adventure, Sci-Fi",176.65,6.9
Scarface,Brian De Palma,"Crime, Drama",45.6,8.3
Captain America: The Winter Soldier,Anthony Russo,"Action, Adventure, Sci-Fi",259.77,7.7
Donnie Darko,Richard Kelly,"Drama, Mystery, Sci-Fi",1.48,8
The Pianist,Roman Polanski,"Biography, Drama, Music",32.57,8.5
Sin City,Frank Miller,"Crime, Thriller",74.1,8
The Big Lebowski,Joel Coen,"Comedy, Crime, Sport",17.5,8.1
300,Zack Snyder,"Action, Drama",210.61,7.6
Star Wars: Episode I - The Phantom Menace,George Lucas,"Action, Adventure, Fantasy",474.54,6.5
Taxi Driver,Martin Scorsese,"Crime, Drama",28.26,8.2
Iron Man 2,Jon Favreau,"Action, Adventure, Sci-Fi",312.43,7
The Silence of the Lambs,Jonathan Demme,"Crime, Drama, Thriller",130.74,8.6
Inglourious Basterds,Quentin Tarantino,"Adventure, Drama, War",120.54,8.3
The Avengers,Joss Whedon,"Action, Adventure, Sci-Fi",623.28,8
Saving Private Ryan,Steven Spielberg,"Drama, War",216.54,8.6
Star Wars: Episode IV - A New Hope,George Lucas,"Action, Adventure, Fantasy",322.74,8.6
Schindler's List,Oskar Schindler,"Biography, Drama, History",96.9,8.9
The Wolf of Wall Street,Jordan Belfort,"Biography, Crime, Drama",116.9,8.2
The Prestige,Christopher Nolan,"Drama, Mystery, Sci-Fi",53.09,8.5
The Departed,Martin Scorsese,"Crime, Drama, Thriller",132.38,8.5
Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,"Action, Adventure, Fantasy",290.48,8.7
